Social,Medical and Science Media,Media Art Technologies,Thai Program,306000,1,1,1,1,1,1,1,1
Social,Interior Architecture,Faculty of Architecture and Design,Thai Program,626000,1,2,1,1,1,1,1,1
Social,Industrial Design,Faculty of Architecture and Design,Thai Program,632000,1,2,1,1,1,1,1,1
Social,Communication Design,Faculty of Architecture and Design,Thai Program,632000,1,2,1,1,1,1,1,0
Social,Architecture,Faculty of Architecture and Design,International Program,751000,1,2,1,1,1,1,1,0
Enterprising,Media Arts,Media Art Technologies,Thai Program,294000,1,1,1,1,1,1,0,0
Enterprising,Media Technology,Media Art Technologies,Thai Program,304500,1,1,1,1,1,1,1,1
Enterprising,Medical and Science Media,Media Art Technologies,Thai Program,306000,1,1,1,1,1,1,1,1
Enterprising,Interior Architecture,Faculty of Architecture and Design,Thai Program,626000,1,2,1,1,1,1,1,1
Enterprising,Industrial Design,Faculty of Architecture and Design,Thai Program,632000,1,2,1,1,1,1,1,1
Enterprising,Communication Design,Faculty of Architecture and Design,Thai Program,632000,1,2,1,1,1,1,1,0
Enterprising,Architecture,Faculty of Architecture and Design,International Program,751000,1,2,1,1,1,1,1,0
Conventional,Environmental Engineering,Faculty of Engineering,Thai Program,160000,2,1,3,3,3,1,0,0
Conventional,Food Science and Technology,Faculty of Science,Thai Program,162000,1,1,1,2,3,1,0,0
Conventional,Microbiology,Faculty of Science,Thai Program,165000,1,1,1,2,3,1,0,0
Conventional,Industrial Technology,Faculty of Industrial and Technology Education,Thai Program,167000,2,1,3,2,1,1,0,0
Conventional,Mechanical Engineering,Faculty of Engineering,Thai Program,169500,2,1,3,2,1,1,0,0
Conventional,Control Systems and Instrumentation Engineering,Faculty of Engineering,Thai Program,169500,3,1,3,1,1,1,0,0
Conventional,Applied Computer Science-Multimedia,Faculty of Industrial and Technology Education,Thai Program,170000,1,1,2,1,1,1,1,1
Conventional,Materials Engineering,Faculty of Engineering,Thai Program,170000,2,1,3,3,1,1,0,0
Conventional,Tool Engineering,Faculty of Engineering,Thai Program,170000,3,1,3,1,1,1,0,0
Conventional,Civil Engineering,Faculty of Engineering,Thai Program,170500,3,1,3,1,1,1,0,0
Conventional,Chemical Engineering,Faculty of Engineering,Thai Program,170500,2,1,3,3,2,1,1,1
Conventional,Mechatronics Engineering,Faculty of Engineering,Thai Program,171000,2,1,3,1,1,1,0,0
Conventional,Industrial Education Program in Production Engineering,Faculty of Industrial and Technology Education,Thai Program (5 years program),202500,3,1,3,2,1,1,0,0
Conventional,Industrial Education Program in Mechanical Engineering,Faculty of Industrial and Technology Education,Thai Program (5 years program),202500,3,1,3,1,1,1,0,0
Conventional,Educational Technology and Mass Communication,Faculty of Industrial and Technology Education,Thai Program,226000,2,1,3,2,1,1,0,0
